pre,suff,count
puke,pot,3
puke,pile,12
puke,weasel,1
puke,monkey,4
puke,dog,2
puke,rat,6
puke,bird,1
puke,goblin,1
puke,puffin,0
puke,licker,0
puke,muncher,0
puke,fucker,17
puke,sucker,1
puke,lord,5
puke,clown,0
puke,slut,18
puke,pirate,0
puke,bro,7
puke,nazi,0
puke,whore,12
puke,boy,22
puke,boi,2
puke,burglar,1
puke,bandit,0
puke,bitch,0
puke,waffle,1
puke,burger,2
puke,cake,3
puke,nugget,0
puke,rag,1
puke,nozzle,0
puke,stain,105
puke,wagon,2
puke,weed,14
puke,hat,2
puke,canoe,0
puke,boat,0
puke,stick,7
puke,socket,0
puke,trumpet,0
puke,mitten,0
puke,twat,0
puke,dick,30
puke,cunt,7
puke,ass,32
puke,cock,1
puke,balls,13
puke,face,183
puke,head,16
puke,nuts,4
puke,brain,1
puke,brains,3
puke,knuckle,0
puke,mouth,14
puke,nose,8
puke,skull,18
puke,tard,5
puke,oid,9
puke,ster,52
puke,azoid,0
puke,let,3
puke,fuck,40
puke,shit,51
puke,fart,5
puke,wit,0
puke,lib,0
puke,breath,10
spunk,wad,12
spunk,bag,21
spunk,bucket,94
spunk,sack,0
spunk,ball,19
spunk,splash,0
spunk,pot,0
spunk,pile,2
spunk,weasel,10
spunk,monkey,54
spunk,dog,4
spunk,rat,78
spunk,bird,0
spunk,goblin,9
spunk,puffin,8
spunk,licker,0
spunk,muncher,3
spunk,fucker,1
spunk,sucker,2
spunk,lord,8
spunk,clown,0
spunk,slut,3
spunk,pirate,0
spunk,bro,0
spunk,nazi,0
spunk,whore,0
spunk,boy,4
spunk,boi,0
spunk,burglar,0
spunk,bandit,0
spunk,bitch,0
spunk,waffle,12
spunk,burger,3
spunk,cake,4
spunk,nugget,43
spunk,rag,29
spunk,nozzle,8
spunk,stain,33
spunk,wagon,8
spunk,weed,2
spunk,hat,0
spunk,canoe,0
spunk,boat,0
spunk,stick,5
spunk,socket,0
spunk,trumpet,436
spunk,mitten,0
spunk,twat,1
spunk,dick,1
spunk,cunt,0
spunk,ass,2
spunk,cock,0
spunk,balls,4
spunk,face,15
spunk,head,12
spunk,nuts,1
spunk,brain,2
spunk,brains,0
spunk,knuckle,0
spunk,mouth,29
spunk,nose,1
spunk,skull,0
spunk,tard,0
spunk,oid,0
spunk,ster,14
spunk,azoid,0
spunk,let,4
spunk,fuck,2
spunk,shit,1
spunk,fart,3
spunk,wit,0
spunk,lib,0
spunk,breath,5
fart,wad,143
fart,bag,907
fart,bucket,57
fart,sack,190
fart,ball,121
fart,splash,5
fart,pot,4
fart,pile,2
fart,weasel,17
fart,monkey,12
fart,dog,60
fart,rat,3
fart,bird,8
fart,goblin,40
fart,puffin,0
fart,licker,73
fart,muncher,30
fart,fucker,37
fart,sucker,110
fart,lord,125
fart,clown,13
fart,slut,17
fart,pirate,0
fart,bro,9
fart,nazi,0
fart,whore,1
fart,boy,259
fart,boi,40
fart,burglar,7
fart,bandit,10
fart,bitch,7
fart,waffle,52
fart,burger,45
fart,cake,49
fart,nugget,168
fart,rag,1
fart,nozzle,27
fart,stain,65
fart,wagon,24
fart,weed,7
fart,hat,24
fart,canoe,0
fart,boat,9
fart,stick,27
fart,socket,3
fart,trumpet,4
fart,mitten,27
fart,twat,2
fart,dick,49
fart,cunt,7
fart,ass,370
fart,cock,23
fart,balls,131
fart,face,1698
fart,head,417
fart,nuts,32
fart,brain,79
fart,brains,30
fart,knuckle,75
fart,mouth,199
fart,nose,20
fart,skull,1
fart,tard,16
fart,oid,5
fart,ster,29
fart,azoid,2
fart,let,43
fart,fuck,62
fart,shit,100
fart,fart,106
fart,wit,2
fart,lib,4
fart,breath,139
shit,wad,2496
shit,bag,176927.1
shit,bucket,5669
shit,sack,2811
shit,ball,5475
shit,splash,21
shit,pot,2391
shit,pile,20170
shit,weasel,2716
shit,monkey,250
shit,dog,358
shit,rat,1134
shit,bird,34414
shit,goblin,1040
shit,puffin,13
shit,licker,853
shit,muncher,330
shit,fucker,1667
shit,sucker,436
shit,lord,300941.65
shit,clown,329
shit,slut,33
shit,pirate,8
shit,bro,126
shit,nazi,16
shit,whore,272
shit,boy,612
shit,boi,202
shit,burglar,31
shit,bandit,24
shit,bitch,346
shit,waffle,383
